u[V],p[V],s[mm] 
8.760,6.587,32.764
8.770,6.592,32.764
8.780,6.597,32.861
8.790,6.597,32.861
8.800,6.621,32.910
8.810,6.616,32.959
8.820,6.621,32.959
8.830,6.626,33.008
8.840,6.631,33.057
8.850,6.655,33.154
8.860,6.660,33.203
8.870,6.655,33.203
8.880,6.670,33.301
8.890,6.675,33.350
8.900,6.689,33.350
8.910,6.685,33.398
8.920,6.704,33.496
8.930,6.704,33.545
8.940,6.699,33.545
8.950,6.714,33.594
8.960,6.719,33.643
8.970,6.719,33.643
8.980,6.733,33.691
8.990,6.733,33.740
9.000,6.758,33.838
9.010,6.748,33.887
9.020,6.748,33.887
9.030,6.768,33.984
9.040,6.768,34.033
9.050,6.772,34.033
9.060,6.792,34.082
9.070,6.792,34.131
9.080,6.797,34.180
9.090,6.802,34.180
9.100,6.816,34.180
9.110,6.812,34.277
9.120,6.826,34.326
9.130,6.821,34.326
9.140,6.836,34.375
9.150,6.836,34.424
9.160,6.851,34.473
9.170,6.846,34.521
9.180,6.860,34.619
9.190,6.875,34.619
9.200,6.870,34.668
9.210,6.895,34.766
9.220,6.899,34.766
9.230,6.895,34.814
9.240,6.899,34.814
9.250,6.919,34.961
9.260,6.914,34.961
9.270,6.919,34.961
9.280,6.948,35.059
9.290,6.948,35.107
9.300,6.953,35.059
9.310,6.958,35.156
9.320,6.958,35.156
9.330,6.968,35.205
9.340,6.968,35.205
9.350,6.978,35.303
9.360,6.982,35.303
9.370,6.997,35.303
9.380,7.002,35.352
9.390,7.007,35.400
9.400,7.012,35.498
9.410,7.026,35.547
9.420,7.026,35.645
9.430,7.036,35.645
9.440,7.036,35.645
9.450,7.051,35.742
9.460,7.051,35.693
9.470,7.051,35.742
9.480,7.070,35.840
9.490,7.065,35.840
9.500,7.070,35.840
9.510,7.095,35.938
9.520,7.095,36.035
9.530,7.090,35.986
9.540,7.104,36.035
9.550,7.100,36.035
9.560,7.124,36.133
9.570,7.124,36.133
9.580,7.124,36.182
9.590,7.139,36.230
9.600,7.144,36.279
9.610,7.148,36.279
9.620,7.163,36.328
9.630,7.163,36.377
9.640,7.173,36.426
9.650,7.178,36.426
9.660,7.192,36.572
9.670,7.178,36.523
9.680,7.183,36.572
9.690,7.222,36.621
9.700,7.217,36.719
9.710,7.217,36.719
9.720,7.217,36.719
9.730,7.231,36.768
9.740,7.236,36.768
9.750,7.236,36.816
9.760,7.246,36.914
9.770,7.256,36.865
9.780,7.256,36.914
9.790,7.266,36.963
9.800,7.271,36.963
9.810,7.300,37.109
9.820,7.290,37.109
9.830,7.295,37.158
9.840,7.310,37.207
9.850,7.310,37.207
9.860,7.314,37.256
9.870,7.319,37.256
9.880,7.324,37.305
9.890,7.334,37.354
9.900,7.349,37.402
9.910,7.344,37.451
9.920,7.368,37.451
9.930,7.368,37.500
9.940,7.373,37.549
9.950,7.378,37.598
9.960,7.378,37.598
9.970,7.383,37.646
9.980,7.393,37.646
9.990,7.393,37.646
10.000,7.388,37.695
10.010,7.393,37.695
10.000,7.393,37.695
9.990,7.393,37.695
9.980,7.393,37.744
9.970,7.393,37.744
9.960,7.397,37.744
9.950,7.393,37.744
9.940,7.393,37.793
9.930,7.393,37.793
9.920,7.388,37.793
9.910,7.393,37.842
9.900,7.393,37.793
9.890,7.393,37.842
9.880,7.388,37.842
9.870,7.373,37.891
9.860,7.378,37.793
9.850,7.354,37.842
9.840,7.349,37.842
9.830,7.344,37.842
9.820,7.344,37.842
9.810,7.329,37.842
9.800,7.324,37.891
9.790,7.324,37.842
9.780,7.319,37.842
9.770,7.314,37.842
9.760,7.300,37.842
9.750,7.295,37.842
9.740,7.295,37.842
9.730,7.285,37.842
9.720,7.285,37.891
9.710,7.266,37.793
9.700,7.271,37.842
9.690,7.251,37.842
9.680,7.251,37.793
9.670,7.236,37.842
9.660,7.236,37.842
9.650,7.227,37.842
9.640,7.231,37.842
9.630,7.207,37.842
9.620,7.197,37.842
9.610,7.202,37.842
9.600,7.188,37.842
9.590,7.192,37.842
9.580,7.178,37.793
9.570,7.183,37.842
9.560,7.168,37.793
9.550,7.168,37.744
9.540,7.158,37.793
9.530,7.158,37.793
9.520,7.134,37.793
9.510,7.134,37.793
9.500,7.124,37.744
9.490,7.129,37.744
9.480,7.114,37.695
